,case_date,charges_f,charges_m,ucr,offense_type,charges_fm
240,2004-01-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
241,2004-01-01,83.0,321,{'charge_slug': '58-theft-from-building'},theft from building,404.0
242,2004-01-01,325.0,990,{'charge_slug': '54-retail-theft'},retail theft,1315.0
243,2004-01-01,2.0,1,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,3.0
244,2004-01-01,0.0,80,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,80.0
245,2004-02-01,93.0,262,{'charge_slug': '58-theft-from-building'},theft from building,355.0
246,2004-02-01,0.0,0,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,0.0
247,2004-02-01,264.0,737,{'charge_slug': '54-retail-theft'},retail theft,1001.0
248,2004-02-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
249,2004-02-01,0.0,63,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,63.0
250,2004-03-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
251,2004-03-01,274.0,1039,{'charge_slug': '54-retail-theft'},retail theft,1313.0
252,2004-03-01,0.0,57,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,57.0
253,2004-03-01,126.0,311,{'charge_slug': '58-theft-from-building'},theft from building,437.0
254,2004-03-01,0.0,2,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,2.0
255,2004-04-01,0.0,3,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,3.0
256,2004-04-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
257,2004-04-01,300.0,1005,{'charge_slug': '54-retail-theft'},retail theft,1305.0
258,2004-04-01,0.0,66,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,66.0
259,2004-04-01,86.0,328,{'charge_slug': '58-theft-from-building'},theft from building,414.0
260,2004-05-01,1.0,67,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,68.0
261,2004-05-01,0.0,4,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,4.0
262,2004-05-01,80.0,296,{'charge_slug': '58-theft-from-building'},theft from building,376.0
263,2004-05-01,230.0,870,{'charge_slug': '54-retail-theft'},retail theft,1100.0
264,2004-05-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
265,2004-06-01,1.0,1,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,2.0
266,2004-06-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
267,2004-06-01,0.0,68,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,68.0
268,2004-06-01,259.0,995,{'charge_slug': '54-retail-theft'},retail theft,1254.0
269,2004-06-01,120.0,385,{'charge_slug': '58-theft-from-building'},theft from building,505.0
270,2004-07-01,90.0,387,{'charge_slug': '58-theft-from-building'},theft from building,477.0
271,2004-07-01,269.0,913,{'charge_slug': '54-retail-theft'},retail theft,1182.0
272,2004-07-01,0.0,4,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,4.0
273,2004-07-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
274,2004-07-01,0.0,92,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,92.0
275,2004-08-01,0.0,73,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,73.0
276,2004-08-01,0.0,0,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,0.0
